id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
30,333.0,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566645314,0.463064582,37.70659201,6986.80996
31,465.0,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.582954458,0.493533938,41.93725753,7793.44206
32,27.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.403476889,0.40383899,31.38338142,4641.00151
33,358.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.573204799,0.488568502,41.94865711,7888.41493
34,627.0,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.41985138,0.402325034,31.92881551,4789.59697
35,159.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.585313688,0.486889324,40.37019338,7122.49056
36,706.0,25.0,0.5,0.117,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,3.77,0.06,0.46751899,0.438586418,34.46756739,5178.27031
37,582.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.547743879,0.467558508,37.77937909,6696.23571
38,751.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.440365017,0.423861178,33.66987505,4830.95981
39,528.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.466109593,0.410939148,34.87061011,5178.27031
40,521.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.553663086,0.470373306,38.62163873,7013.00281
41,214.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.555568429,0.480779062,39.91734321,7293.53617
42,645.0,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.57967664,0.427376052,40.55501923,7381.3794
43,6.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.468921469,0.431057249,34.5252582,5329.2632
44,648.0,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.49368953,0.445308404,35.80706195,5544.62172
45,264.0,12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.442869304,0.391441876,31.06245643,5755.70016
46,696.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.520637077,0.433195442,35.39214139,6019.26248
47,613.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.463097152,0.40383899,32.26534639,5151.38647
48,582.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.547743879,0.460795368,37.33661143,6608.90751
49,211.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.502979625,0.450786211,36.83081961,6132.99793
50,48.0,25.0,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.447040787,0.42727728,33.28905228,4920.13663
51,469.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.483249032,0.418732102,34.8499528,5296.61109
52,591.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.43687052,0.433081146,34.2751629,5628.8828
53,199.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.505619046,0.450786211,36.82658691,5942.42162
54,722.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.404446048,0.402182926,31.59741611,4460.91457
55,422.0,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.427005551,0.411591443,32.15868546,4673.38052
56,692.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.631417034,0.520003767,44.59947057,8489.69192
57,749.0,25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.582482579,0.483047479,40.92972076,7425.75194
58,189.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.573204799,0.488568502,39.81661146,7998.35059
59,50.0,25.0,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.470643424,0.437265704,33.44212024,5482.0813
60,533.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.57467888,0.472468254,39.82088488,7381.97333
61,586.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.539252868,0.482874674,40.22738685,7425.75194
62,477.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.42213693,0.393781726,31.11988062,4696.44394
63,381.0,25.0,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.32833671,0.377566465,28.43820263,3373.43684
64,515.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.435969213,0.423013398,33.28905228,5345.99106
65,315.0,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.595052932,0.496936833,41.44744954,7548.34706
66,689.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.623063206,0.504526655,43.63998621,8134.72655
67,348.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.571708025,0.487427885,39.64669117,7381.97333
68,481.0,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.481472551,0.442193092,35.92331365,5632.45917
69,277.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.541415007,0.463064582,37.7247238,6614.21931
70,331.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.608930974,0.504526655,42.38136072,7771.01027
71,547.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.578114733,0.482118713,40.11817697,7181.42522
72,192.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.576602444,0.48651762,40.16166766,7071.61532
73,176.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.619453149,0.506852617,42.59849195,8064.73881
74,575.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.364564858,0.366977261,29.97539813,3626.36653
75,113.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.485548321,0.44252903,35.18441169,5750.88107
76,270.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.63346314,0.5251356,45.80306982,8247.52116
77,658.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.498715892,0.446570029,35.11807556,5720.72316
78,236.0,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.8331027762,0.520003767,44.99434918,8157.23694
79,395.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.518626455,0.460285638,37.78237359,6260.47363
80,127.0,12.5,0.25,0.25,0.25,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.52391434,0.460369104,37.09688443,6327.47736
81,363.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.536899811,0.465157167,37.7247238,6595.45629
82,638.0,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.496019026,0.445284233,34.33876109,5791.45673
83,757.0,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.517868887,0.468493268,38.17659701,6830.96605
84,758.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.523276949,0.452100321,37.03329756,6543.97182
85,357.0,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.594206083,0.491279313,41.19101338,7399.87589
86,32.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.323727288,0.370480992,28.28409524,3396.72989
87,441.0,12.5,0.25,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.387861179,0.401537849,30.12462708,3822.98167
88,681.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.565324698,0.443504,37.74750888,6830.96605
89,539.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.506793789,0.451036893,36.6742427,5535.05665
90,74.0,12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.508275418,0.408444733,32.02764698,5852.8742
91,725.0,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.500189951,0.413380913,35.20741312,6521.29112
92,209.0,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.451291733,0.409907136,32.79766623,6019.26248
93,347.0,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.578887446,0.485912698,39.4849869,7669.81182
94,35.0,25.0,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.39936701,0.389814772,31.02327724,4320.87416
95,114.0,12.5,0.25,0.25,0.25,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.39936701,0.397617195,31.02327724,4068.35066
96,751.0,25.0,0.5,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.386518419,0.400980125,30.27510191,4356.94587
97,339.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.584016198,0.486632377,40.55976952,6986.80996
98,304.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.576469662,0.484307576,39.98873363,7150.9817
99,42.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.340822336,0.383563534,29.28433587,3436.49354
100,375.0,12.5,0.25,0.38,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.605677437,0.500029301,41.23972427,7071.83395
101,279.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.58704878,0.481173502,40.86547798,7804.62795
102,592.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.560709036,0.475425424,38.61011529,7290.10652
103,605.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.462752296,0.429702536,33.97877886,5498.58395
104,724.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.566319234,0.467219599,39.1606042,6903.87339
105,135.0,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.512802719,0.456936833,36.04777028,5912.43376
106,648.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.569329938,0.468493268,39.15823782,7297.7321
107,60.0,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.46082121,0.433844688,33.31223192,5496.08506
108,662.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.582482579,0.486632377,40.55501923,7558.00588
109,495.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.479464772,0.437265704,34.76957798,5498.58395
110,547.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.496618271,0.44252903,34.78799327,5996.07855
111,683.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.527591617,0.418219535,37.32322478,6370.89887
112,726.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.610321439,0.50404651,42.59849195,8538.462
113,663.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.448841436,0.42726083,34.78105469,4898.83586
114,192.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.555210358,0.476836137,39.47432437,7016.89385
115,197.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.577983425,0.485912698,39.85662538,7103.50894
116,563.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.350136522,0.38126925,27.735098,2825.00374
117,335.0,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.601353783,0.498585597,41.78031158,7588.36096
118,693.0,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.561962455,0.471650366,39.18675925,7428.83442
119,283.0,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.596551315,0.491169185,41.67027165,7560.20565
120,556.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.444479717,0.42726083,35.88512085,5345.99106
121,425.0,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.524635459,0.436376172,36.01862394,6754.44894
122,9.0,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.551234401,0.470176914,37.52274536,6515.26145
123,514.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.349908358,0.387580455,28.45383631,3436.49354
124,619.0,25.0,0.5,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.594836828,0.491414051,41.21921269,7428.83442
125,659.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.538604193,0.474776543,39.91734321,6948.2288
126,529.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.566319234,0.464066853,39.7419306,5569.13925
127,547.0,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.475118209,0.423927032,34.92972033,5767.17836
128,648.0,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.473458531,0.440785841,35.78105469,5199.79211
129,20.0,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.398976956,0.405525072,31.88184658,4056.83427
130,151.0,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.498819447,0.448647248,35.17991165,5865.38472
131,147.0,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.605758307,0.500029301,41.36318078,7858.68558
132,582.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.508991582,0.457772938,36.82658691,6619.84695
133,417.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.527399614,0.436459223,38.1617313,6543.97182
134,236.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.594836828,0.491124144,41.33629767,7565.21124
135,509.0,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.535863236,0.447597174,38.1617313,6735.24371
136,459.0,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.433014308,0.426371416,33.3406292,5005.32997
137,71.0,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.437188153,0.398804938,31.78225878,4700.57615
138,718.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.619453149,0.505558182,42.33632715,7920.06175
139,159.0,12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.482854142,0.444587916,34.74417997,5395.33158
140,540.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.49368953,0.448946243,35.41408191,6397.35569
141,572.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.55195445,0.471249919,39.12726257,6808.26361
142,683.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.567975637,0.480106144,39.58916872,6979.32479
143,648.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.488485703,0.431448682,34.89511705,5356.87186
144,527.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.454737417,0.430905502,33.4416065,4975.88538
145,745.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.463097152,0.429710486,33.74349354,5296.61109
146,761.0,20.0,0.0,0.585,0.0,0.0,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.397461189,0.401506621,30.12737627,4045.47966
147,104.0,12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.468921469,0.411271911,35.80706195,5377.27086
148,594.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.593029845,0.493533938,41.48453443,7639.54789
149,489.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.404225284,0.393418576,31.78225878,4303.94303
150,746.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.586760249,0.480106144,40.92210139,7080.04004
151,227.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.587319779,0.481173502,40.65549833,7434.34904
152,517.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.378833119,0.397617195,30.27510191,1945.53061
153,728.0,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.584016198,0.488638858,40.37019338,7127.16457
154,347.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.572725923,0.477778535,39.64161958,7284.81478
155,158.0,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.465538066,0.42801212,33.84753901,5009.96222
156,368.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.488485703,0.438095887,34.76957798,5772.91016
157,744.0,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.376009787,0.395435754,30.79561296,3385.36422
158,361.0,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.539255853,0.460796109,37.80745277,6155.89609
159,228.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.593029845,0.494864674,41.17620131,7945.18784
160,26.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.429210588,0.402105764,31.86773783,4568.67217
161,252.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.595712725,0.491813116,41.17642111,7415.89441
162,300.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.490965919,0.443889013,35.72483444,5534.80494
163,405.0,12.5,0.25,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.641617746,0.513728593,44.2785829,8711.20896
164,266.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.582848693,0.485912698,40.26540842,7381.97333
165,470.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.582482579,0.483047479,40.81318096,7357.3589
166,207.0,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.509782413,0.450786211,37.55556802,6026.06365
